"","Mean","Standard Deviation"
"Number of people",1212.11764705882,1239.56060170292
"Income",6117,2079.5500715299
"Earnings (FT)",7426.76470588235,2409.65896262863
"Earnings (All)",6769.70588235294,2479.68901186988
"Months worked",3.13529411764706,0.208989163805771
