"","Mean","Standard Deviation"
"Number of people",2272.70588235294,2285.48664852548
"Income",4026.17647058824,939.010731787323
"Earnings (FT)",5223.17647058824,863.720385548335
"Earnings (All)",4734.41176470588,1042.55551763584
"Months worked",3.02352941176471,0.246296091535945
